//ホムンクルス基本データ	LastUP 2006/04/08
//Class,ViewClass,Name,JName,Lv,AcceID,FoodID,HP,SP,Str,Agi,Vit,Int,Dex,Luk,[Rate->]Base,HP_max,HP_min,SP_max,SP_min,Str,Agi,Vit,Int,Dex,Luk,aspd,Size,Race,Element,EvoClass,ExpTable{homun_script}

6001,6001,LIF,Lif,1,0,537,150,40,17,20,15,35,24,15,2,110,40,12,2,56,69,70,60,73,39,630,1,0,80,6009,0,{}
6002,6002,AMISTR,Amistr,1,0,912,320,10,22,17,35,11,23,16,2,150,70,4,1,84,65,60,8,58,38,640,1,0,80,6010,0,{}
6003,6003,FILIR,Filir,1,0,910,90,25,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,6011,0,{}
6004,6004,VANILMIRTH,Vanilmirth,1,0,911,150,11,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,6012,0,{}

6005,6005,LIF,Lif,1,0,537,150,40,17,20,15,35,24,15,2,110,40,12,2,56,69,70,60,73,39,630,1,0,80,6013,0,{}
6006,6006,AMISTR,Amistr,1,0,912,320,10,22,17,35,11,23,16,2,150,70,4,1,84,65,60,8,58,38,640,1,0,80,6014,0,{}
6007,6007,FILIR,Filir,1,0,910,90,25,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,6015,0,{}
6008,6008,VANILMIRTH,Vanilmirth,1,0,911,150,11,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,6016,0,{}

6009,6009,LIF,Lif,1,0,537,150,40,17,20,15,35,24,15,2,110,40,12,2,56,69,70,60,73,39,630,1,0,80,0,1,{}
6010,6010,AMISTR,Amistr,1,0,912,320,10,22,17,35,11,23,16,2,150,70,4,1,84,65,60,8,58,38,640,1,0,80,0,1,{}
6011,6011,FILIR,Filir,1,0,910,90,25,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,0,1,{}
6012,6012,VANILMIRTH,Vanilmirth,1,0,911,150,11,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,0,1,{}

6013,6013,LIF,Lif,1,0,537,150,40,17,20,15,35,24,15,2,110,40,12,2,56,69,70,60,73,39,630,1,0,80,0,1,{}
6014,6014,AMISTR,Amistr,1,0,912,320,10,22,17,35,11,23,16,2,150,70,4,1,84,65,60,8,58,38,640,1,0,80,0,1,{}
6015,6015,FILIR,Filir,1,0,910,90,25,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,0,1,{}
6016,6016,VANILMIRTH,Vanilmirth,1,0,911,150,11,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,0,1,{}
